x,u,V,T,Lambda,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
0,9.0248,1.29644e-16,294,-412839,0,8.03518e-22,0,0,3.05915e-19,1.87655e-21,0,0,6.10391e-21,0,0,0,1.57053e-21,0.999975,0,0,1.04269e-28,9.52645e-21,1.22081e-33,7.48838e-28,1.38313e-30,4.81907e-20,6.30719e-27,0,0,9.85201e-21,6.41781e-23,0,6.75151e-29,4.13604e-48,2.17715e-39,0,5.41075e-48,0,2.32677e-46,0,7.54289e-39,0,0,0,7.30263e-32,0,4.01132e-21,6.24256e-41,1.68285e-54,3.58702e-40,1.34162e-48,0,2.49006e-05,0,0,1.19388e-20,0,1
0.000408163,9.01334,28.0843,294,-412839,0,7.18518e-22,0,0,3.41409e-20,2.89773e-19,0,0,6.10391e-21,0,0,0,2.42517e-19,0.999975,0,0,1.31858e-28,9.52645e-21,1.88514e-31,7.4881e-28,0,4.81907e-20,3.1397e-26,0,0,9.852e-21,0,2.28843e-30,8.74354e-29,1.38827e-47,0,0,5.65065e-48,0,3.59295e-44,0,9.96907e-39,0,0,0,7.30262e-32,0,4.01132e-21,6.20251e-41,1.68488e-54,3.55658e-40,1.17426e-48,0,2.49006e-05,0,0,1.19388e-20,0,1
0.000816327,8.97895,56.1685,294,-412839,0,8.38631e-22,0,0,3.79738e-21,3.21916e-19,0,0,6.10391e-21,0,0,0,2.70112e-19,0.999975,0,0,1.5936e-28,9.52645e-21,1.91198e-31,7.48782e-28,0,4.81907e-20,5.63311e-26,0,0,9.85198e-21,0,2.54779e-30,1.0735e-28,1.60483e-47,0,0,5.89155e-48,0,3.58662e-44,0,1.23983e-38,0,0,0,7.30261e-32,0,4.01132e-21,6.16235e-41,1.68505e-54,3.52605e-40,1.17391e-48,0,2.49006e-05,0,0,1.19388e-20,0,1
0.00122449,8.92164,84.2528,294,-412839,0,9.59538e-22,0,0,4.19986e-22,3.25494e-19,0,0,6.10391e-21,2.44357e-32,0,0,2.73892e-19,0.999975,0,0,1.87054e-28,9.52645e-21,1.73139e-31,7.48753e-28,0,4.81907e-20,8.14056e-26,0,0,9.85197e-21,0,2.57852e-30,1.2741e-28,1.64097e-47,0,0,6.13403e-48,0,3.58603e-44,0,1.48324e-38,0,0,0,7.3026e-32,0,4.01132e-21,6.12198e-41,1.68493e-54,3.49535e-40,1.17386e-48,0,2.49006e-05,0,0,1.19388e-20,0,1
0.00163265,8.8414,112.337,294,-412839,0,1.08158e-21,0,0,4.60798e-23,3.2589e-19,0,0,6.10391e-21,2.44164e-32,0,0,2.75037e-19,0.999975,0,0,2.15052e-28,9.52645e-21,1.52625e-31,7.48725e-28,0,4.81906e-20,1.06716e-25,0,0,9.85196e-21,0,2.58627e-30,1.4769e-28,1.64633e-47,0,0,6.37869e-48,0,3.59157e-44,0,1.72733e-38,0,0,0,7.3026e-32,0,4.01132e-21,6.08128e-41,1.68494e-54,3.46442e-40,1.17366e-48,0,2.49006e-05,0,0,1.19388e-20,0,1
0.00204082,8.73823,140.421,294,-412839,0,1.2051e-21,0,0,5.00275e-24,3.25934e-19,0,0,6.10391e-21,2.43977e-32,0,0,2.7591e-19,0.999975,0,0,2.43452e-28,9.52645e-21,1.31637e-31,7.48696e-28,0,4.81906e-20,1.32339e-25,0,0,9.85194e-21,0,2.59111e-30,1.68262e-28,1.64707e-47,0,0,6.62626e-48,0,3.60344e-44,0,1.97225e-38,0,0,0,7.30259e-32,0,4.01132e-21,6.04015e-41,1.68494e-54,3.43315e-40,1.17347e-48,0,2.49006e-05,0,0,1.19388e-20,0,1
0.00244898,8.61214,168.506,294,-412839,0,1.33049e-21,0,0,5.3543e-25,3.25938e-19,0,0,6.10391e-21,2.43816e-32,0,0,2.76777e-19,0.999975,0,0,2.72359e-28,9.52645e-21,1.10348e-31,7.48666e-28,0,4.81906e-20,1.58354e-25,0,0,9.85193e-21,0,2.59563e-30,1.89201e-28,1.64716e-47,0,0,6.87745e-48,2.83726e-53,3.62195e-44,0,2.21814e-38,0,0,0,7.30258e-32,0,4.01132e-21,5.99847e-41,1.68494e-54,3.40146e-40,1.17329e-48,0,2.49006e-05,0,0,1.19388e-20,0,1
0.00285714,8.46312,196.59,294,-412839,0,1.45816e-21,0,0,5.56681e-26,3.25939e-19,0,0,6.10391e-21,2.43682e-32,0,0,2.77668e-19,0.999975,0,0,3.01886e-28,9.52645e-21,8.87277e-32,7.48637e-28,0,4.81906e-20,1.84846e-25,0,0,9.85191e-21,0,2.60023e-30,2.1059e-28,1.64717e-47,0,0,7.13306e-48,1.95591e-52,3.64746e-44,0,2.46511e-38,0,0,0,7.30257e-32,0,4.01132e-21,5.9561e-41,1.68493e-54,3.36924e-40,1.1731e-48,0,2.49006e-05,0,0,1.19388e-20,0,1
0.00326531,8.29117,224.674,294,-412839,0,1.58857e-21,0,0,4.9259e-27,3.25939e-19,0,0,6.10391e-21,2.43576e-32,0,0,2.78593e-19,0.999975,0,0,3.32161e-28,9.52645e-21,6.67171e-32,7.48606e-28,0,4.81905e-20,2.11911e-25,0,0,9.8519e-21,0,2.60496e-30,2.32519e-28,1.64717e-47,0,0,7.39399e-48,1.95591e-52,3.68046e-44,0,2.71323e-38,0,0,0,7.30256e-32,0,4.01131e-21,5.9129e-41,1.68493e-54,3.3364e-40,1.1729e-48,0,2.49006e-05,0,0,1.19388e-20,0,1
0.00367347,8.0963,252.758,294,-412839,0,1.72223e-21,0,0,0,3.25939e-19,0,0,6.10391e-21,2.435e-32,0,0,2.79555e-19,0.999975,0,0,3.63329e-28,9.52645e-21,4.42493e-32,7.48575e-28,0,4.81905e-20,2.39654e-25,0,0,9.85188e-21,0,2.60982e-30,2.55096e-28,1.64717e-47,0,0,7.6612e-48,1.95591e-52,3.72155e-44,0,2.96249e-38,0,0,0,7.30255e-32,0,4.01131e-21,5.86871e-41,1.68493e-54,3.30281e-40,1.1727e-48,0,2.49006e-05,0,0,1.19388e-20,0,1
