x,u,V,T,Lambda,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
0,0.0150134,-1.38589e-27,294,-1.2996,0,0,0,0.000973145,8.74623e-30,1.33014e-23,0,7.99869e-25,0,7.89782e-34,7.08961e-29,0,3.12536e-15,0.995797,7.12936e-26,0,2.14398e-29,2.22109e-23,6.22413e-44,0,0,2.21843e-26,0,0,0,0,0,1.08331e-53,0,0,0,7.7196e-26,0,6.49996e-58,0,1.61079e-25,0,0,1.79256e-28,0,3.97587e-31,0,9.44771e-41,0,0,7.03455e-45,0,0.00320493,2.47965e-05,1.33019e-29,0,0,2.71868e-41,1
0.000408163,0.0149847,0.0530668,294,-1.2996,0,0,0,0.00122149,1.13923e-29,1.66959e-23,0,1.00014e-24,0,5.75461e-41,1.38501e-31,0,3.92295e-15,0.994731,8.94878e-26,0,2.69112e-29,2.78791e-23,7.81252e-44,0,0,4.32839e-30,0,0,0,0,0,1.3584e-53,0,0,0,3.44668e-26,0,8.15436e-58,0,2.02187e-25,0,0,1.88569e-28,0,3.23998e-31,0,1.18737e-40,0,0,7.49444e-45,0,0.00402283,2.477e-05,1.66965e-29,0,0,2.97687e-41,0.998929
0.000816327,0.0149108,0.106116,294,-1.2996,0,0,0,0.00153297,4.53104e-30,2.09386e-23,0,1.2451e-24,0,4.19079e-48,0,0,4.89759e-15,0.993394,8.87815e-26,0,2.65725e-32,3.49857e-23,3.4741e-44,0,0,6.71839e-34,0,0,0,0,0,1.02728e-55,0,0,0,1.39541e-26,0,9.84331e-58,0,1.9407e-25,0,0,1.92876e-28,0,2.43241e-31,0,5.58984e-44,0,0,7.66542e-45,0,0.00504864,2.47367e-05,2.03005e-29,0,0,3.20142e-41,0.997586
0.00122449,0.0147914,0.159135,294,-1.2996,0,0,0,0.00192319,8.34357e-31,2.62481e-23,0,1.54414e-24,0,3.04894e-55,0,0,6.08652e-15,0.991718,8.78661e-26,0,1.81056e-35,4.38849e-23,1.07058e-44,0,0,8.29226e-38,0,0,0,0,0,6.20332e-58,0,0,0,5.07223e-27,0,1.15552e-57,0,1.57934e-25,0,0,1.94523e-28,0,1.55709e-31,0,2.09247e-47,0,0,7.71544e-45,0,0.00633379,2.4695e-05,2.40598e-29,0,0,3.4092e-41,0.995904
0.00163265,0.0146262,0.212105,294,-1.2996,0,0,0,0.00241122,0,3.28871e-23,0,1.90833e-24,0,1.29747e-59,0,0,7.53349e-15,0.989623,8.67234e-26,0,9.64516e-39,5.50084e-23,1.53697e-45,0,0,8.1366e-42,0,0,0,0,0,3.82503e-60,0,0,0,1.63854e-27,0,1.32863e-57,0,1.06397e-25,0,0,1.94871e-28,0,6.21502e-32,0,6.22771e-51,0,0,7.71864e-45,0,0.00794104,2.46428e-05,2.79328e-29,0,0,3.61102e-41,0.9938
0.00204082,0.0144145,0.264999,294,-1.2996,0,0,0,0.00302008,1.08684e-30,4.11702e-23,0,2.3505e-24,0,1.26404e-59,0,0,9.28928e-15,0.987009,8.53002e-26,0,8.35536e-41,6.88765e-23,2.23693e-45,0,0,6.3477e-46,0,0,0,0,0,0,0,0,0,4.65603e-28,0,1.5035e-57,0,4.63514e-26,0,0,1.94612e-28,0,0,0,1.47381e-54,0,0,7.7036e-45,0,0.00994626,2.45777e-05,3.18895e-29,0,0,3.81219e-41,0.991175
0.00244898,0.0141558,0.317779,294,-1.2996,0,0,0,0.00377737,4.1143e-30,5.14711e-23,0,2.88533e-24,0,1.23e-59,0,0,1.1412e-14,0.983758,8.35334e-26,0,9.76773e-41,8.61104e-23,9.88555e-45,0,0,3.93922e-50,0,0,0,0,0,0,0,0,0,1.15209e-28,0,1.67997e-57,0,0,0,0,1.94043e-28,0,0,0,3.02785e-58,0,0,7.67953e-45,0,0.0124403,2.44968e-05,3.59101e-29,0,0,4.0139e-41,0.98791
0.00285714,0.0138497,0.370391,294,-1.2996,0,0,0,0.00471569,9.26816e-30,6.42292e-23,0,3.52935e-24,0,1.19478e-59,0,0,1.3967e-14,0.979729,8.13484e-26,0,1.19482e-40,1.07441e-22,2.39865e-44,0,0,1.94585e-54,0,0,0,0,0,0,0,0,0,2.45858e-29,0,1.8577e-57,0,0,0,0,1.93261e-28,1.28402e-67,0,0,2.46558e-59,0,0,7.64841e-45,0,0.0155305,2.43964e-05,3.99828e-29,0,0,4.21448e-41,0.983864
0.00326531,0.0134955,0.422762,294,-1.2996,0,0,0,0.00587311,1.73848e-29,7.99544e-23,0,4.30081e-24,0,1.15979e-59,0,0,1.70266e-14,0.97476,7.86584e-26,0,1.45558e-40,1.33718e-22,4.60552e-44,0,0,7.65811e-59,0,0,0,0,0,0,0,0,0,4.4847e-30,0,2.0362e-57,0,0,0,0,1.92277e-28,6.24227e-68,0,0,2.38762e-59,0,0,7.60974e-45,0,0.0193424,2.42727e-05,4.41002e-29,0,0,4.4103e-41,0.978874
0.00367347,0.0130926,0.474794,294,-1.2996,0,0,0,0.00729331,2.9861e-29,9.92275e-23,0,5.21931e-24,0,1.12617e-59,0,0,2.06682e-14,0.968663,7.53645e-26,0,1.76541e-40,1.65908e-22,7.91995e-44,0,0,2.40831e-63,0,0,0,0,0,0,0,0,0,6.93732e-31,0,2.2147e-57,0,0,1.30415e-39,0,1.91065e-28,0,0,0,2.31636e-59,0,0,7.56225e-45,0,0.0240196,2.41209e-05,4.82568e-29,0,0,4.59655e-41,0.972751
