x,u,V,T,Lambda,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
0,0.150413,-3.42655e-23,294,-222.872,1.18385e-12,0,0,5.92893e-14,0,2.86819e-11,7.66172e-20,7.23305e-19,9.2412e-21,8.84793e-22,3.50244e-25,1.93096e-21,8.09695e-17,0.999975,1.26318e-11,2.17009e-11,1.38932e-20,2.01436e-15,0,5.19696e-20,8.38131e-16,5.42718e-35,2.18549e-12,0,4.59123e-13,2.77714e-17,1.41009e-13,1.82347e-23,6.00366e-15,1.16505e-15,0,0,1.44504e-21,5.6508e-15,0,3.17847e-14,4.27262e-17,3.33378e-17,6.00496e-20,0,3.00131e-14,8.17427e-20,1.63114e-26,4.58971e-16,6.89992e-18,3.8879e-15,0,1.59851e-10,2.49006e-05,5.07284e-18,1.74894e-16,3.05041e-18,6.27133e-18,1
0.000408163,0.150042,0.909681,294,-222.872,4.21045e-12,0,0,2.1089e-13,0,1.0202e-10,2.72524e-19,2.57784e-18,9.24115e-21,1.82097e-28,1.2469e-24,5.61766e-28,2.88005e-16,0.999975,4.49309e-11,7.71891e-11,4.94174e-20,7.165e-15,0,1.9742e-19,2.9812e-15,1.93043e-34,7.77371e-12,0,1.63308e-12,9.87829e-17,5.01564e-13,6.49081e-23,2.13548e-14,4.14405e-15,0,0,2.9625e-21,2.00997e-14,0,1.13057e-13,1.51975e-16,1.18601e-16,1.88072e-19,1.5543e-26,1.06756e-13,2.90751e-19,1.63114e-26,1.63255e-15,2.45427e-17,1.38291e-14,0,5.68582e-10,2.49006e-05,1.80439e-17,6.22093e-16,1.08502e-17,2.23081e-17,1
0.000816327,0.148928,1.81936,294,-222.872,1.49568e-11,0,0,7.4917e-13,0,3.62419e-10,9.68122e-19,9.16264e-18,9.24098e-21,3.72771e-35,4.4797e-24,1.62946e-34,1.0231e-15,0.999975,1.59614e-10,2.74208e-10,1.75556e-19,2.54531e-14,0,7.14062e-19,1.05905e-14,6.85369e-34,2.76155e-11,0,5.8014e-12,3.5092e-16,1.78177e-12,2.30628e-22,7.58612e-14,1.47214e-14,0,0,8.35046e-21,7.14026e-14,0,4.01626e-13,5.39881e-16,4.21342e-16,6.42635e-19,9.02604e-26,3.79241e-13,1.03287e-18,1.63113e-26,5.7995e-15,8.71862e-17,4.91268e-14,1.88637e-26,2.01985e-09,2.49006e-05,6.40996e-17,2.20994e-15,3.85444e-17,7.92492e-17,1
0.00122449,0.147072,2.72904,294,-222.872,5.291e-11,0,0,2.65022e-12,0,1.28207e-09,3.42477e-18,3.24183e-17,9.24045e-21,7.0761e-42,1.6092e-23,1.3892e-36,3.61925e-15,0.999975,5.6464e-10,9.70024e-10,6.21055e-19,9.00414e-14,0,2.53942e-18,3.74643e-14,2.42272e-33,9.76911e-11,0,2.05227e-11,1.2414e-15,6.30308e-12,8.15903e-22,2.68362e-13,5.20776e-14,0,0,2.73792e-20,2.5259e-13,0,1.42077e-12,1.90985e-15,1.49054e-15,2.24802e-18,3.30658e-25,1.34158e-12,3.6538e-18,1.63111e-26,2.0516e-14,3.08425e-16,1.73788e-13,9.63268e-26,7.14529e-09,2.49006e-05,2.26755e-16,7.81775e-15,1.36353e-16,2.80349e-16,1
0.00163265,0.144473,3.63872,294,-222.872,1.85752e-10,0,1.82733e-23,9.30419e-12,3.7572e-26,4.501e-09,1.20234e-17,1.13817e-16,9.23874e-21,0,5.74376e-23,4.99407e-36,1.27062e-14,0.999975,1.98229e-09,3.40548e-09,2.18042e-18,3.16111e-13,0,8.93103e-18,1.31527e-13,8.49888e-33,3.42966e-10,1.15363e-26,7.20495e-11,4.3582e-15,2.21284e-11,2.86446e-21,9.42146e-13,1.8283e-13,0,0,9.39827e-20,8.86773e-13,0,4.98793e-12,6.70496e-15,5.23288e-15,7.86712e-18,1.08902e-24,4.70992e-12,1.28275e-17,1.63102e-26,7.2026e-14,1.08279e-15,6.10122e-13,3.71294e-25,2.50851e-08,2.49006e-05,7.96074e-16,2.7446e-14,4.78696e-16,9.84228e-16,1
0.00204082,0.141131,4.5484,294,-222.872,6.4485e-10,2.22053e-21,1.4733e-22,3.23001e-11,4.15141e-25,1.56255e-08,4.17401e-17,3.95126e-16,9.23345e-21,2.06392e-41,2.02828e-22,1.80726e-35,4.41103e-14,0.999975,6.88167e-09,1.18224e-08,7.56973e-18,1.0974e-12,1.68779e-22,3.10293e-17,4.56604e-13,2.9483e-32,1.19063e-09,2.08498e-25,2.50125e-10,1.51298e-14,7.682e-11,9.94421e-21,3.27072e-12,6.34707e-13,0,0,3.24162e-19,3.07849e-12,4.31208e-37,1.73159e-11,2.32767e-14,1.81663e-14,2.72865e-17,3.41834e-24,1.63508e-11,4.45314e-17,1.63076e-26,2.50043e-13,3.75899e-15,2.11808e-12,1.33502e-24,8.70847e-08,2.49006e-05,2.76362e-15,9.52805e-14,1.66183e-15,3.41681e-15,1
0.00244898,0.137047,5.45809,294,-222.872,2.2054e-09,9.78479e-21,6.7259e-22,1.10467e-10,4.31028e-24,5.34396e-08,1.42752e-16,1.35134e-15,9.21759e-21,3.16501e-40,7.05873e-22,6.82589e-35,1.50858e-13,0.999975,2.35354e-08,4.04327e-08,2.58895e-17,3.75312e-12,9.2238e-22,1.06176e-16,1.56159e-12,1.00786e-31,4.07198e-09,2.55876e-24,8.55431e-10,5.1744e-14,2.62726e-10,3.40097e-20,1.11859e-11,2.17071e-12,0,0,1.10658e-18,1.05285e-11,6.5041e-36,5.92208e-11,7.96067e-14,6.21291e-14,9.32963e-17,1.03247e-23,5.592e-11,1.52298e-16,1.62996e-26,8.55151e-13,1.28558e-14,7.24387e-12,4.65733e-24,2.97831e-07,2.49006e-05,9.45164e-15,3.25861e-13,5.68347e-15,1.16856e-14,1
0.00285714,0.13222,6.36778,294.001,-222.872,7.40159e-09,3.50364e-20,2.81872e-21,3.70741e-10,4.60678e-23,1.7935e-07,4.79097e-16,4.53528e-15,9.172e-21,3.87208e-39,2.41173e-21,3.02333e-34,5.06299e-13,0.999974,7.89878e-08,1.35697e-07,8.68914e-17,1.25959e-11,3.43172e-21,3.56503e-16,5.2409e-12,3.38439e-31,1.36661e-08,2.79917e-23,2.87093e-09,1.7366e-13,8.81741e-10,1.14144e-19,3.75414e-11,7.28517e-12,0,9.13373e-22,3.71181e-18,3.53349e-11,7.81792e-35,1.98752e-10,2.6717e-13,2.08513e-13,3.13091e-16,2.98694e-23,1.87675e-10,5.11132e-16,1.6276e-26,2.86999e-12,4.31457e-14,2.43113e-11,1.58767e-23,9.99559e-07,2.49005e-05,3.17209e-14,1.09363e-12,1.90744e-14,3.92182e-14,0.999999
0.00326531,0.126652,7.27748,294.005,-222.872,2.4277e-08,1.1736e-19,1.14587e-20,1.21602e-09,4.8561e-22,5.88263e-07,1.57145e-15,1.48756e-14,9.04809e-21,4.33367e-38,8.0582e-21,2.04791e-33,1.66065e-12,0.99997,2.59078e-07,4.45083e-07,2.85011e-16,4.13143e-11,1.15818e-20,1.16984e-15,1.719e-11,1.11463e-30,4.48243e-08,2.85616e-22,9.41657e-09,5.69599e-13,2.89208e-09,3.74429e-19,1.23135e-10,2.38951e-11,0,1.75749e-20,1.21727e-17,1.15898e-10,8.59105e-34,6.51902e-10,8.7631e-13,6.83917e-13,1.02691e-15,8.18344e-23,6.15567e-10,1.6765e-15,1.62098e-26,9.4135e-12,1.41517e-13,7.97405e-11,5.28234e-23,3.27852e-06,2.49005e-05,1.04044e-13,3.58707e-12,6.25637e-14,1.28635e-13,0.999996
0.00367347,0.120344,8.18725,294.015,-222.872,7.74837e-08,3.78139e-19,4.55171e-20,3.88111e-09,4.90669e-21,1.87753e-06,5.01583e-15,4.74777e-14,8.73547e-21,4.54473e-37,2.62273e-20,2.65416e-32,5.30027e-12,0.99996,8.26886e-07,1.42055e-06,9.09684e-16,1.31861e-10,3.7286e-20,3.73537e-15,5.48645e-11,3.61434e-30,1.43064e-07,2.73004e-21,3.00544e-08,1.81796e-12,9.23052e-09,1.19546e-18,3.93003e-10,7.6265e-11,0,7.00835e-20,3.88492e-17,3.69904e-10,8.83888e-33,2.08064e-09,2.79688e-12,2.18282e-12,3.2775e-15,2.08576e-22,1.96468e-09,5.3508e-15,1.60354e-26,3.00446e-11,4.51672e-13,2.54504e-10,1.70851e-22,1.04639e-05,2.49002e-05,3.32071e-13,1.14487e-11,1.99682e-13,4.10557e-13,0.999986
0.00408163,0.1133,9.0972,294.046,-222.872,2.39522e-07,1.1773e-18,1.76538e-19,1.19975e-08,4.67018e-20,5.80392e-06,1.55083e-14,1.46766e-13,8.02399e-21,4.47036e-36,8.2859e-20,5.41462e-31,1.6385e-11,0.999929,2.55611e-06,4.39128e-06,2.81211e-15,4.07616e-10,1.15644e-19,1.15521e-14,1.696e-10,1.17738e-29,4.42245e-07,2.4215e-20,9.29058e-08,5.61981e-12,2.85339e-08,3.69969e-18,1.21487e-09,2.35754e-10,0,2.30067e-19,1.20091e-16,1.14347e-09,8.5187e-32,6.4318e-09,8.64584e-12,6.74766e-12,1.01316e-14,4.8137e-22,6.07331e-09,1.65407e-14,1.56116e-26,9.28754e-11,1.39623e-12,7.86735e-10,5.34337e-22,3.23466e-05,2.48995e-05,1.02652e-12,3.53907e-11,6.17272e-13,1.26914e-12,0.999958
0.0044898,0.105533,10.0077,294.138,-222.872,7.13491e-07,3.5397e-18,6.6778e-19,3.57383e-08,4.12428e-19,1.72888e-05,4.62261e-14,4.37188e-13,6.62568e-21,4.11395e-35,2.53595e-19,1.25545e-29,4.88128e-11,0.999838,7.61419e-06,1.30808e-05,8.37655e-15,1.21421e-09,3.45585e-19,3.44259e-14,5.05207e-10,4.07964e-29,1.31737e-06,1.95041e-19,2.76749e-07,1.67407e-11,8.49972e-08,1.10609e-17,3.61888e-09,7.02269e-10,0,6.99624e-19,3.57727e-16,3.40618e-09,7.66053e-31,1.91591e-08,2.57543e-11,2.01e-11,3.01801e-14,9.65709e-22,1.80913e-08,4.92715e-14,1.46961e-26,2.76659e-10,4.15912e-12,2.34354e-09,1.60639e-21,9.63545e-05,2.48975e-05,3.05783e-12,1.05422e-10,1.83879e-12,3.78052e-12,0.999874
0.00469388,0.101389,10.4635,294.246,-222.872,1.26898e-06,6.36667e-18,1.40492e-18,6.35623e-08,1.30299e-18,3.0749e-05,8.2316e-14,7.7756e-13,5.61631e-21,1.3501e-34,4.62658e-19,6.86018e-29,8.68329e-11,0.999732,1.35422e-05,2.32648e-05,1.48966e-14,2.15953e-09,6.17535e-19,6.12392e-14,8.98536e-10,9.10917e-29,2.343e-06,6.51077e-19,4.92212e-07,2.9775e-11,1.51172e-07,1.98076e-17,6.43635e-09,1.24902e-09,0,1.25615e-18,6.36237e-16,6.05806e-09,2.46228e-30,3.40755e-08,4.58048e-11,3.57489e-11,5.36767e-14,1.26114e-21,3.21762e-08,8.76315e-14,1.39633e-26,4.92051e-10,7.3972e-12,4.1681e-09,2.87466e-21,0.000171371,2.4895e-05,5.43855e-12,1.87497e-10,3.27054e-12,6.72384e-12,0.999777
