x,u,V,T,Lambda,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
0,10.5289,-6.27352e-18,294,-561887,0,4.15556e-20,0,0,7.14556e-22,3.63662e-24,0,0,4.37496e-20,0,0,9.52311e-20,1.16771e-21,0.999975,6.23647e-34,0,0,2.10994e-28,2.57117e-37,0,4.6079e-33,0,0,0,0,0,0,0,2.17002e-31,0,1.40511e-44,3.69374e-35,0,3.61809e-68,1.34603e-46,2.30895e-37,6.52569e-41,1.97742e-33,0,4.66937e-45,6.4853e-35,1.61873e-42,1.27517e-33,1.24321e-47,0,1.30267e-46,0,0,2.49006e-05,0,0,0,1.34137e-32,1
0.000408163,10.5156,32.7631,294,-561887,0,4.16203e-20,0,0,8.99798e-23,6.54545e-22,5.15945e-32,0,4.37496e-20,0,2.58093e-26,1.40262e-24,2.10173e-19,0.999975,8.54761e-32,0,1.17043e-31,2.10797e-28,4.62777e-35,0,0,0,0,0,0,0,0,0,3.51396e-31,0,1.33754e-44,3.69374e-35,0,3.62493e-68,2.42268e-44,4.15582e-35,6.52569e-41,1.97742e-33,0,4.5968e-45,1.02075e-34,1.61894e-42,2.34335e-31,1.29858e-47,0,1.34476e-46,0,0,2.49006e-05,0,0,0,1.92088e-32,1
0.000816327,10.4754,65.5261,294,-561887,0,4.16849e-20,0,0,1.01692e-23,7.28342e-22,1.06184e-31,0,4.37496e-20,0,2.58087e-26,2.05801e-29,2.14556e-19,0.999975,1.77618e-31,0,2.34212e-31,2.10613e-28,8.20467e-35,0,0,0,0,8.11473e-38,0,0,0,0,4.85472e-31,0,1.26418e-44,3.69374e-35,0,3.67089e-68,2.40666e-44,8.29057e-35,6.52569e-41,1.97742e-33,0,4.45185e-45,1.39316e-34,1.61909e-42,4.66862e-31,1.40905e-47,0,1.42875e-46,0,0,2.49006e-05,0,0,0,2.50067e-32,1
0.00122449,10.4086,98.2892,294,-561887,0,4.17494e-20,0,0,4.88644e-27,7.28325e-22,1.60748e-31,0,4.37496e-20,0,2.58077e-26,2.99913e-34,2.18885e-19,0.999975,2.73944e-31,0,3.50825e-31,2.10432e-28,1.16693e-34,0,0,0,0,3.98034e-37,0,0,0,0,6.19562e-31,0,1.1848e-44,3.69374e-35,0,3.75967e-68,2.39039e-44,1.24379e-34,6.52569e-41,1.97742e-33,0,4.23317e-45,1.7667e-34,1.61919e-42,6.99428e-31,1.57554e-47,0,1.55532e-46,0,0,2.49006e-05,0,0,0,3.08222e-32,1
0.00163265,10.315,131.052,294,-561887,0,4.18141e-20,0,0,0,7.18839e-22,2.15425e-31,0,4.37496e-20,0,2.58075e-26,0,2.2323e-19,0.999975,3.73866e-31,0,4.67151e-31,2.10254e-28,1.51294e-34,0,0,0,0,8.0321e-37,0,0,0,0,7.53997e-31,0,1.09906e-44,3.69374e-35,0,3.74917e-68,2.37402e-44,1.66087e-34,6.52569e-41,1.97742e-33,0,3.93863e-45,2.14235e-34,1.61923e-42,9.32612e-31,1.79956e-47,0,1.72563e-46,0,0,2.49006e-05,0,0,0,3.66705e-32,1
0.00204082,10.1946,163.815,294,-561887,0,4.18791e-20,0,0,0,7.08068e-22,2.70359e-31,0,4.37496e-20,0,2.58086e-26,0,2.2761e-19,0.999975,4.77578e-31,0,5.83459e-31,2.10078e-28,1.86059e-34,0,0,0,0,1.29302e-36,0,0,0,0,8.89116e-31,0,1.00657e-44,3.69374e-35,0,0,2.35752e-44,2.08143e-34,6.52569e-41,1.97742e-33,0,3.56522e-45,2.52114e-34,1.61921e-42,1.16701e-30,2.08327e-47,0,1.94132e-46,0,0,2.49006e-05,0,0,0,4.25675e-32,1
0.00244898,10.0475,196.578,294,-561887,0,4.19447e-20,0,0,0,6.97025e-22,3.25697e-31,0,4.37496e-20,0,2.58114e-26,0,2.32036e-19,0.999975,5.85432e-31,0,7.00021e-31,2.09903e-28,2.21091e-34,0,0,0,0,1.86489e-36,0,0,0,0,1.02527e-30,0,9.06861e-45,3.69374e-35,0,0,2.34084e-44,2.50666e-34,6.52569e-41,1.97742e-33,0,3.10902e-45,2.90413e-34,1.61913e-42,1.40323e-30,2.42955e-47,0,2.20457e-46,0,0,2.49006e-05,0,0,0,4.85299e-32,1
0.00285714,9.87368,229.341,294,-561887,0,4.20109e-20,0,0,0,6.85808e-22,3.81597e-31,0,4.37496e-20,0,2.58161e-26,0,2.36524e-19,0.999975,6.97854e-31,0,8.17118e-31,2.09728e-28,2.56492e-34,0,0,0,0,2.51724e-36,0,0,0,0,1.16283e-30,0,7.9935e-45,3.69374e-35,0,0,2.32392e-44,2.93785e-34,6.52569e-41,1.97742e-33,0,2.56498e-45,3.29249e-34,1.61899e-42,1.64194e-30,2.84208e-47,0,2.51819e-46,0,0,2.49006e-05,0,0,0,5.45758e-32,1
0.00326531,9.67309,262.105,294,-561887,0,4.20781e-20,0,0,0,6.74397e-22,4.38229e-31,0,4.37496e-20,0,2.58234e-26,0,2.41088e-19,0.999975,8.15342e-31,0,9.35043e-31,2.09554e-28,2.92364e-34,0,0,0,0,3.24944e-36,0,0,0,0,1.3022e-30,0,6.83349e-45,3.69374e-35,0,0,2.30671e-44,3.3764e-34,6.52569e-41,1.97742e-33,0,1.9268e-45,3.68747e-34,1.61878e-42,1.88383e-30,3.32548e-47,0,2.8857e-46,0,0,2.49006e-05,0,0,0,6.07247e-32,1
0.00367347,9.44575,294.868,294,-561887,0,4.21464e-20,0,0,0,6.62754e-22,4.95776e-31,0,4.37496e-20,0,2.58339e-26,0,2.45744e-19,0.999975,9.38478e-31,0,1.05411e-30,2.0938e-28,3.28825e-34,0,0,0,0,4.0619e-36,0,0,0,0,1.44382e-30,0,5.5803e-45,3.69374e-35,0,0,2.28914e-44,3.82384e-34,6.52569e-41,1.97742e-33,0,1.18669e-45,4.09047e-34,1.61851e-42,2.12968e-30,3.88551e-47,0,3.31146e-46,0,0,2.49006e-05,0,0,0,6.69983e-32,1
