x,u,V,T,Lambda,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
0.00408163,0.0243263,2.66885,367.07,-12.0768,6.8443e-05,6.76079e-16,4.24545e-16,0.00104786,1.0282e-14,0.01184,1.46194e-10,9.78682e-09,6.22528e-42,5.22661e-32,1.51804e-18,5.04289e-23,5.52079e-09,0.900939,0.0010821,0.0131493,1.61294e-15,8.30363e-06,3.86246e-18,2.13854e-11,1.01261e-06,6.95955e-25,6.56598e-05,7.64356e-17,9.0399e-05,7.06191e-12,4.41636e-05,8.09299e-17,7.94711e-06,1.16434e-07,8.12858e-23,1.44476e-16,4.97657e-15,3.90409e-08,1.41556e-24,8.78764e-07,1.35106e-07,1.32823e-08,2.59364e-13,1.92811e-26,1.31013e-07,3.99246e-14,1.45541e-30,4.92748e-08,1.07003e-10,1.50536e-07,6.43899e-19,0.0716314,2.25753e-05,6.36737e-10,1.85135e-08,3.02002e-13,3.05193e-08,0.908577
0.0044898,0.0232386,2.96199,391.519,-12.0768,9.02931e-05,1.98978e-15,1.01747e-15,0.00138239,1.73072e-14,0.0156198,2.66615e-10,1.29112e-08,1.08006e-40,4.28774e-31,4.07474e-18,1.31765e-22,7.77771e-09,0.869323,0.00142756,0.0173471,3.9026e-15,1.09545e-05,9.56648e-18,2.82686e-11,1.33588e-06,4.47241e-24,8.66214e-05,2.63069e-16,0.000119258,8.62727e-12,5.82621e-05,1.63425e-16,1.04842e-05,1.53605e-07,2.01351e-22,3.73887e-16,6.59648e-15,5.15046e-08,1.03666e-23,1.15938e-06,1.78128e-07,1.75225e-08,3.43773e-13,1.09156e-25,1.72839e-07,5.22479e-14,1.02363e-29,6.50056e-08,1.41163e-10,1.98594e-07,1.5629e-18,0.0944994,2.1833e-05,8.41546e-10,2.44236e-08,7.55915e-13,4.02624e-08,0.878701
0.00469388,0.0226219,3.10759,405.475,-12.0768,0.000102787,3.5111e-15,1.5873e-15,0.00157367,2.25898e-14,0.0177811,3.66689e-10,1.46977e-08,4.89712e-40,1.28547e-30,6.77054e-18,2.14382e-22,9.22074e-09,0.851244,0.00162509,0.0197474,6.31761e-15,1.24703e-05,1.61844e-17,3.20144e-11,1.52072e-06,1.1654e-23,9.86071e-05,5.0272e-16,0.00013576,9.68869e-12,6.63234e-05,2.38018e-16,1.19349e-05,1.74859e-07,3.9244e-22,6.10277e-16,7.54511e-15,5.86312e-08,2.88486e-23,1.31986e-06,2.02681e-07,1.99471e-08,3.92989e-13,2.66617e-25,1.96754e-07,5.89707e-14,2.81473e-29,7.40003e-08,1.60696e-10,2.26073e-07,2.51868e-18,0.107575,2.14085e-05,9.58053e-10,2.78029e-08,1.24689e-12,4.58335e-08,0.861618
0.00489796,0.021948,3.25153,420.576,-12.0768,0.000116234,6.23249e-15,2.44798e-15,0.00177954,2.92505e-14,0.0201073,5.03456e-10,1.66205e-08,2.24136e-39,3.85027e-30,1.11477e-17,3.45722e-22,1.09017e-08,0.831787,0.00183769,0.0223309,1.02033e-14,1.41017e-05,2.83038e-17,3.5818e-11,1.71966e-06,3.02255e-23,0.000111507,9.65688e-16,0.000153521,1.10679e-11,7.49995e-05,3.48425e-16,1.34962e-05,1.97735e-07,7.63876e-22,9.81418e-16,8.59039e-15,6.63015e-08,8.02999e-23,1.49262e-06,2.29063e-07,2.25567e-08,4.46903e-13,6.47543e-25,2.22495e-07,6.584e-14,7.66811e-29,8.36813e-08,1.81718e-10,2.55649e-07,4.00747e-18,0.121648,2.09517e-05,1.08244e-09,3.144e-08,2.04173e-12,5.18296e-08,0.843232
0.005,0.0215861,3.32257,428.542,-12.0768,0.000123339,8.33516e-15,3.03858e-15,0.00188832,3.33117e-14,0.0213364,5.90917e-10,1.76365e-08,4.85451e-39,6.6989e-30,1.43128e-17,4.39779e-22,1.18504e-08,0.821506,0.00195002,0.0236959,1.3036e-14,1.49637e-05,3.79139e-17,3.76991e-11,1.82478e-06,4.86671e-23,0.000118323,1.34293e-15,0.000162905,1.1957e-11,7.95838e-05,4.24317e-16,1.43212e-05,2.09822e-07,1.08679e-21,1.24466e-15,9.15747e-15,7.03544e-08,1.34082e-22,1.58391e-06,2.4298e-07,2.39355e-08,4.75909e-13,1.00943e-24,2.36095e-07,6.9237e-14,1.27002e-28,8.87966e-08,1.92827e-10,2.71276e-07,5.06484e-18,0.129085,2.07103e-05,1.14738e-09,3.33617e-08,2.6258e-12,5.49979e-08,0.833516
0.00510204,0.021207,3.39286,436.777,-12.0768,0.000130663,1.11387e-14,3.7579e-15,0.00200046,3.78778e-14,0.0226035,6.92907e-10,1.86838e-08,1.04816e-38,1.16144e-29,1.83161e-17,5.58832e-22,1.28733e-08,0.810908,0.00206582,0.0251031,1.66305e-14,1.58523e-05,5.10144e-17,3.95332e-11,1.93314e-06,7.80761e-23,0.00012535,1.8653e-15,0.000172579,1.30113e-11,8.43094e-05,5.1773e-16,1.51717e-05,2.22282e-07,1.54151e-21,1.57221e-15,9.75438e-15,7.45324e-08,2.23104e-22,1.67804e-06,2.57308e-07,2.53569e-08,5.06217e-13,1.56787e-24,2.50116e-07,7.25394e-14,2.09207e-28,9.40697e-08,2.04277e-10,2.87386e-07,6.37868e-18,0.13675,2.04614e-05,1.21358e-09,3.53427e-08,3.368e-12,5.82638e-08,0.823502
0.00520408,0.0208096,3.46226,445.274,-12.0768,0.000138195,1.48705e-14,4.6313e-15,0.00211577,4.30059e-14,0.0239064,8.11531e-10,1.97608e-08,2.25663e-38,2.0064e-29,2.33644e-17,7.09683e-22,1.3975e-08,0.800009,0.0021849,0.0265501,2.11827e-14,1.6766e-05,6.88774e-17,4.12945e-11,2.04456e-06,1.24708e-22,0.000132575,2.58704e-15,0.000182527,1.42696e-11,8.91688e-05,6.33109e-16,1.60462e-05,2.35095e-07,2.18406e-21,1.97842e-15,1.03835e-14,7.88286e-08,3.697e-22,1.77484e-06,2.72021e-07,2.68185e-08,5.37859e-13,2.42526e-24,2.64533e-07,7.56815e-14,3.42867e-28,9.94921e-08,2.16052e-10,3.03951e-07,8.00486e-18,0.144633,2.02056e-05,1.28067e-09,3.73797e-08,4.30836e-12,6.16223e-08,0.813203
0.00530612,0.020393,3.53069,454.021,-12.0768,0.000145922,1.98154e-14,5.686e-15,0.00223406,4.87588e-14,0.025243,9.49111e-10,2.08656e-08,4.83385e-38,3.44902e-29,2.96971e-17,9.01169e-22,1.51606e-08,0.788829,0.00230706,0.0280345,2.69265e-14,1.77034e-05,9.31685e-17,4.29565e-11,2.15887e-06,1.98159e-22,0.000139988,3.57943e-15,0.000192732,1.57769e-11,9.41539e-05,7.75962e-16,1.69434e-05,2.4824e-07,3.09371e-21,2.47988e-15,1.10479e-14,8.32359e-08,6.09318e-22,1.87416e-06,2.8709e-07,2.8318e-08,5.70869e-13,3.73347e-24,2.79323e-07,7.85847e-14,5.58392e-28,1.05055e-07,2.28132e-10,3.20945e-07,1.00082e-17,0.152719,1.99431e-05,1.34816e-09,3.94693e-08,5.494e-12,6.50677e-08,0.802638
0.00540816,0.0199565,3.59801,463.009,-12.0768,0.00015383,2.63297e-14,6.95129e-15,0.00235514,5.52039e-14,0.0266111,1.10819e-09,2.19965e-08,1.02767e-37,5.89073e-29,3.75896e-17,1.14487e-21,1.64352e-08,0.777386,0.0024321,0.0295539,3.41386e-14,1.86629e-05,1.26062e-16,4.44925e-11,2.27586e-06,3.13012e-22,0.000147575,4.93575e-15,0.000203178,1.75848e-11,9.92561e-05,9.53141e-16,1.78617e-05,2.61693e-07,4.38294e-21,3.0957e-15,1.17511e-14,8.7747e-08,9.97548e-22,1.97584e-06,3.02484e-07,2.98527e-08,6.05281e-13,5.71588e-24,2.94461e-07,8.11566e-14,9.02398e-28,1.10748e-07,2.40496e-10,3.38339e-07,1.24632e-17,0.160996,1.96744e-05,1.41547e-09,4.16081e-08,6.97965e-12,6.85941e-08,0.791825
0.0055102,0.0194993,3.66414,472.227,-12.0768,0.000161907,3.48525e-14,8.45813e-15,0.0024788,6.24138e-14,0.0280083,1.29152e-09,2.31514e-08,2.16292e-37,9.9806e-29,4.7355e-17,1.45606e-21,1.78045e-08,0.765699,0.00255979,0.0311056,4.31422e-14,1.96428e-05,1.70357e-16,4.58764e-11,2.39534e-06,4.91189e-22,0.000155323,6.77642e-15,0.000213845,1.97513e-11,0.000104467,1.17317e-15,1.87995e-05,2.75433e-07,6.21164e-21,3.84768e-15,1.24975e-14,9.23541e-08,1.62024e-21,2.07971e-06,3.18172e-07,3.14201e-08,6.41125e-13,8.69773e-24,3.09922e-07,8.32917e-14,1.44502e-27,1.16563e-07,2.53123e-10,3.56104e-07,1.54541e-17,0.169449,1.94e-05,1.48192e-09,4.37923e-08,8.82763e-12,7.21956e-08,0.780781
0.00561224,0.019021,3.72897,481.665,-12.0768,0.000170138,4.59146e-14,1.02384e-14,0.00260482,7.04653e-14,0.0294322,1.50204e-09,2.43284e-08,4.49541e-37,1.6749e-28,5.93415e-17,1.85501e-21,1.92746e-08,0.753788,0.00268993,0.032687,5.43089e-14,2.06414e-05,2.29606e-16,4.7083e-11,2.51711e-06,7.6528e-22,0.00016322,9.25442e-15,0.000224717,2.23403e-11,0.000109778,1.4466e-15,1.97553e-05,2.89437e-07,8.80776e-21,4.76049e-15,1.32919e-14,9.70495e-08,2.60776e-21,2.18559e-06,3.34122e-07,3.30175e-08,6.78426e-13,1.31476e-23,3.25678e-07,8.48727e-14,2.28954e-27,1.22489e-07,2.65992e-10,3.74208e-07,1.90753e-17,0.178064,1.91203e-05,1.54666e-09,4.60183e-08,1.11075e-11,7.58661e-08,0.769526
0.00571429,0.0185211,3.79239,491.313,-12.0768,0.00017851,6.01441e-14,1.23237e-14,0.002733,7.94389e-14,0.0308805,1.74287e-09,2.55255e-08,9.2041e-37,2.77979e-28,7.39273e-17,2.36868e-21,2.0852e-08,0.741674,0.0028223,0.0342955,6.80592e-14,2.16571e-05,3.0824e-16,4.80887e-11,2.64095e-06,1.18318e-21,0.000171251,1.25607e-14,0.000235775,2.54205e-11,0.000115179,1.78643e-15,2.07274e-05,3.03679e-07,1.24974e-20,5.86168e-15,1.41402e-14,1.01825e-07,4.15452e-21,2.29331e-06,3.503e-07,3.46422e-08,7.17199e-13,1.97329e-23,3.41704e-07,8.57743e-14,3.58438e-27,1.28517e-07,2.79081e-10,3.92622e-07,2.34303e-17,0.186826,1.88359e-05,1.6087e-09,4.82821e-08,1.38947e-11,7.95993e-08,0.758079
0.00581633,0.0179992,3.85433,501.16,-12.0768,0.000187009,7.82673e-14,1.47442e-14,0.00286312,8.94187e-14,0.0323507,2.01727e-09,2.67408e-08,1.85215e-36,4.55634e-28,9.15117e-17,3.03305e-21,2.25438e-08,0.729376,0.00295667,0.0359283,8.48603e-14,2.26882e-05,4.11692e-16,4.88718e-11,2.76666e-06,1.81444e-21,0.000179405,1.69292e-14,0.000247001,2.90642e-11,0.000120662,2.20857e-15,2.17142e-05,3.18138e-07,1.7749e-20,7.18159e-15,1.50485e-14,1.06673e-07,6.54486e-21,2.4027e-06,3.6667e-07,3.62915e-08,7.57444e-13,2.93939e-23,3.57973e-07,8.58706e-14,5.53744e-27,1.34635e-07,2.92368e-10,4.11315e-07,2.86315e-17,0.195721,1.85471e-05,1.66685e-09,5.058e-08,1.72691e-11,8.3389e-08,0.746458
