x,u,V,T,Lambda,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
0,7.52067,8.86248e-22,294,-286716,0,7.45179e-27,0,9.62551e-26,0,0,0,2.61095e-27,0,0,1.90611e-29,5.87654e-25,9.79528e-27,0.999975,0,6.4722e-33,0,0,0,0,0,0,1.57674e-30,4.5814e-36,0,7.4829e-26,1.93216e-26,0,0,8.93516e-27,5.76409e-33,0,5.17851e-27,4.05538e-26,0,1.192e-34,1.05323e-27,3.40889e-34,1.96572e-26,2.29303e-36,0,0,0,1.3824e-35,1.43382e-42,8.18493e-31,3.78066e-40,0,2.49006e-05,0,4.83893e-27,5.86128e-35,1.14357e-26,1
0.000408163,7.51112,23.4054,294,-286716,0,3.29149e-27,0,9.62551e-26,0,0,0,2.60925e-27,0,0,1.95007e-29,6.19614e-30,1.2621e-24,0.999975,0,6.4722e-33,0,0,0,0,0,0,1.58071e-30,3.97879e-36,0,7.4829e-26,1.60812e-26,0,0,8.93516e-27,5.76409e-33,0,5.17851e-27,4.05538e-26,0,1.192e-34,1.05323e-27,3.40889e-34,1.96572e-26,2.29303e-36,0,0,0,1.3824e-35,1.43382e-42,8.18493e-31,3.78066e-40,0,2.49006e-05,0,4.83893e-27,5.86128e-35,1.14357e-26,1
0.000816327,7.48246,46.8107,294,-286716,0,3.29503e-27,0,9.6255e-26,0,0,0,2.60901e-27,0,0,1.9494e-29,6.50839e-35,1.26426e-24,0.999975,0,6.4722e-33,0,0,0,0,0,0,1.5847e-30,3.44728e-36,0,7.4829e-26,1.27965e-26,0,0,8.93516e-27,5.76409e-33,0,5.17851e-27,4.05538e-26,0,1.192e-34,1.05323e-27,3.40889e-34,1.96572e-26,2.29303e-36,0,0,0,1.3824e-35,1.43382e-42,8.18493e-31,3.78066e-40,0,2.49006e-05,0,4.83893e-27,5.86128e-35,1.14357e-26,1
0.00122449,7.43469,70.2161,294,-286716,0,3.29862e-27,0,9.6255e-26,0,0,0,2.60891e-27,0,0,1.94873e-29,6.80922e-40,1.26736e-24,0.999975,0,6.4722e-33,0,0,0,0,0,0,1.58872e-30,2.9781e-36,0,7.48289e-26,9.46769e-27,0,0,8.93516e-27,5.76409e-33,0,5.17851e-27,4.05538e-26,0,1.192e-34,1.05323e-27,3.40889e-34,1.96572e-26,2.29303e-36,0,0,0,1.3824e-35,1.43382e-42,8.18493e-31,3.78066e-40,0,2.49006e-05,0,4.83893e-27,5.86128e-35,1.14357e-26,1
0.00163265,7.36782,93.6214,294,-286716,0,3.30224e-27,0,9.6255e-26,0,0,0,2.60883e-27,0,0,1.94805e-29,1.62084e-42,1.2706e-24,0.999975,0,6.4722e-33,0,0,0,0,0,0,1.59276e-30,2.56372e-36,0,7.48289e-26,6.08615e-27,0,0,8.93516e-27,5.76409e-33,0,5.17851e-27,4.05538e-26,0,1.192e-34,1.05323e-27,3.40889e-34,1.96572e-26,2.29303e-36,0,0,0,1.3824e-35,1.43382e-42,8.18493e-31,3.78066e-40,0,2.49006e-05,0,4.83893e-27,5.86128e-35,1.14357e-26,1
0.00204082,7.28184,117.027,294,-286716,0,3.30591e-27,0,9.6255e-26,0,0,0,2.60874e-27,0,0,1.94737e-29,1.61277e-42,1.2739e-24,0.999975,0,6.4722e-33,0,0,0,0,0,0,1.59686e-30,2.19771e-36,0,7.48289e-26,2.64178e-27,0,0,8.93516e-27,5.76409e-33,0,5.17851e-27,4.05538e-26,0,1.192e-34,1.05323e-27,3.40889e-34,1.96572e-26,2.29303e-36,0,0,0,1.3824e-35,1.43382e-42,8.18493e-31,3.78066e-40,0,2.49006e-05,0,4.83893e-27,5.86128e-35,1.14357e-26,1
0.00244898,7.17675,140.432,294,-286716,0,3.30964e-27,0,9.62549e-26,0,0,0,2.60865e-27,0,0,1.94667e-29,1.61171e-42,1.27728e-24,0.999975,0,6.4722e-33,0,0,0,0,0,0,1.60101e-30,1.87452e-36,0,7.48289e-26,0,0,0,8.93516e-27,5.76409e-33,0,5.17851e-27,4.05538e-26,0,1.192e-34,1.05323e-27,3.40889e-34,1.96572e-26,2.29303e-36,0,0,0,1.3824e-35,1.43382e-42,8.18493e-31,3.78066e-40,0,2.49006e-05,0,4.83893e-27,5.86128e-35,1.14357e-26,1
0.00285714,7.05256,163.838,294,-286716,0,3.31344e-27,0,9.62549e-26,0,0,0,2.60857e-27,0,0,1.94596e-29,1.61063e-42,1.28074e-24,0.999975,0,6.4722e-33,0,0,0,0,0,0,1.60524e-30,1.58934e-36,0,7.48289e-26,0,0,0,8.93516e-27,5.76409e-33,0,5.17851e-27,4.05538e-26,0,1.192e-34,1.05323e-27,3.40889e-34,1.96572e-26,2.29303e-36,0,0,0,1.3824e-35,1.43382e-42,8.18493e-31,3.78066e-40,0,2.49006e-05,0,4.83893e-27,5.86128e-35,1.14357e-26,1
0.00326531,6.90926,187.243,294,-286716,0,3.31732e-27,0,9.62549e-26,0,0,0,2.60848e-27,0,0,1.94524e-29,1.60953e-42,1.28431e-24,0.999975,0,6.4722e-33,0,0,0,0,0,0,1.60955e-30,1.33801e-36,0,7.48288e-26,0,0,0,8.93516e-27,5.76409e-33,0,5.17851e-27,4.05538e-26,0,1.192e-34,1.05323e-27,3.40889e-34,1.96572e-26,2.29303e-36,0,0,0,1.3824e-35,1.43382e-42,8.18493e-31,3.78066e-40,0,2.49006e-05,0,4.83893e-27,5.86128e-35,1.14357e-26,1
0.00367347,6.74686,210.648,294,-286716,0,3.3213e-27,0,9.62549e-26,0,0,0,2.60838e-27,0,0,1.9445e-29,1.60841e-42,1.28798e-24,0.999975,0,6.4722e-33,0,0,0,0,0,0,1.61396e-30,1.1169e-36,0,7.48288e-26,0,0,0,8.93516e-27,5.76409e-33,0,5.17851e-27,4.05538e-26,0,1.192e-34,1.05323e-27,3.40889e-34,1.96572e-26,2.29303e-36,0,0,0,1.3824e-35,1.43382e-42,8.18493e-31,3.78066e-40,0,2.49006e-05,0,4.83893e-27,5.86128e-35,1.14357e-26,1
